Date file: /home/fk1j/ib9503_04/test_case9_hfb/hfb320_10.cdf
19 Variables plus time, with 601 values each

              T           DELV           PDYN         THRUST          TASCG          ALFCG            THE              Q           QDOT           AXCG           AZCG           AYCG              P              R           PDOT           RDOT          BETCG            PHI           DAIL           DRUD
              S            RAD             PA              N            M/S            RAD            RAD          RAD/S         RAD/S2           M/S2           M/S2           M/S2          RAD/S          RAD/S         RAD/S2         RAD/S2            RAD            RAD            RAD            RAD

        5.40000     0.00352195       4478.030       11579.68       106.0934      0.1078677      0.0738800    -0.03375147     -0.0215280       0.885148       -9.39271     -0.0912632     0.02479853    -0.01394176    -0.05043751    -0.00406636     0.00137486     0.01537273    -0.03909117    -0.01572666
        5.50000     0.00389335       4491.949       11599.71       106.0941      0.1036131      0.0706917    -0.03495704      0.0048797       0.790381       -8.81926     -0.1287402     0.01699445    -0.01463885    -0.05881967     0.00348542     0.00343404     0.01848419    -0.03899334    -0.01567697
        5.60000     0.00426474       4481.508       11598.94       106.0488      0.0995672      0.0678576    -0.03289035      0.0245419       0.763173       -8.46893     -0.1159260     0.01369939    -0.01324467    -0.03916501     0.01132767     0.00116896     0.02211422    -0.03909117    -0.01562729
        5.70000     0.00445044       4478.030       11609.67       106.0916      0.0962472      0.0643151    -0.03047921      0.0287041       0.744035       -8.39388     -0.1250405     0.00867009    -0.01254758    -0.04263340     0.01277997     0.00318533     0.02055849    -0.03928684    -0.01562729
        5.80000     0.00445044       4471.071       11578.92       106.0457      0.0933377      0.0613039    -0.02737918      0.0256901       0.743632       -8.27231     -0.0743044     0.00520161    -0.01080486    -0.04162180     0.01161813     0.00194045     0.02263279    -0.03918901    -0.01562729
        5.90000     0.00445044       4481.508       11598.87       106.0445      0.0912455      0.0584698    -0.02531249      0.0223892       0.704147       -7.89335     -0.0455427     0.00017232    -0.01045632    -0.05101556     0.00029045     0.00374819     0.02315137    -0.03909117    -0.01562729
        6.00000     0.00426474       4467.594       11568.84       106.0428      0.0896984      0.0566985    -0.02238469      0.0421949       0.711168       -8.07026     -0.1099347    -0.00433671    -0.01045632    -0.03295058     0.00029048     0.00729842     0.02211422    -0.03928684    -0.01537887
        6.10000     0.00426474       4443.234       11558.81       106.0400      0.0890455      0.0551043    -0.01739019      0.0421949       0.730643       -8.08251     -0.1154461    -0.00641779    -0.01010777    -0.01763147     0.01103726     0.01131403     0.02003991    -0.03928684    -0.01552792
        6.20000     0.00389335       4450.193       11558.78       106.0385      0.0903529      0.0536873    -0.01463461      0.0142085       0.742181       -8.17828     -0.1924616    -0.00797861    -0.00836505    -0.00751502     0.01568452     0.01007838     0.02211422    -0.03928684    -0.01522983
        6.30000     0.00463613       4450.191       11558.78       106.0381      0.0893874      0.0522703    -0.01394571      0.0114817       0.722321       -8.27734     -0.1969954    -0.00780519    -0.00697088     0.01401842     0.02178403     0.01180941     0.01952134    -0.03909117    -0.01532919
        6.40000     0.00445044       4443.234       11558.78       106.0369      0.0887884      0.0508532    -0.01187902      0.0268383       0.714206       -8.07567     -0.1757133    -0.00641779    -0.00418253    -0.01459656     0.02091263     0.01714474     0.01848419    -0.03909117    -0.01527951
        6.50000     0.00463613       4450.193       11593.66       105.7263      0.0880257      0.0494362    -0.00912344      0.0198058       0.713410       -8.09043     -0.1729727    -0.01075340    -0.00278835    -0.03959852     0.02091265     0.01381853     0.01796561    -0.03909117    -0.01527951
        6.60000     0.00445044       4439.756       11573.68       105.7258      0.0881115      0.0487277    -0.00826232     -0.0025834       0.710936       -8.28232     -0.1862551    -0.01404845     0.00000000    -0.05954226     0.02265539     0.01043949     0.01589131    -0.03909117    -0.01537887
        6.70000     0.00463613       4453.675       11593.66       105.7261      0.0880600      0.0487277    -0.00877899      0.0114816       0.702712       -8.22829     -0.1935784    -0.02133226     0.00139418    -0.03107182     0.00929453     0.01131996     0.01537273    -0.03928684    -0.01542856
        6.80000     0.00500752       4498.906       11578.70       106.0336      0.0881062      0.0471335    -0.00602340      0.0222456       0.713654       -8.22445     -0.1899574    -0.01959802     0.00209126     0.03034917     0.00522819     0.01191049     0.01226127    -0.03909117    -0.01562729
        6.90000     0.00463613       4481.508       11599.40       106.0772      0.0877494      0.0471335    -0.00499006      0.0057408       0.711835       -8.27935     -0.1730093    -0.01786378     0.00278835    -0.01676434     0.01394176     0.01639865     0.01122412    -0.03909117    -0.01542856
        7.00000     0.00389335       4481.508       11542.33       106.2536      0.0895073      0.0467793    -0.00464561      0.0020093       0.745624       -8.48914     -0.1430558    -0.02271965     0.00487961    -0.04725809     0.02265535     0.01365078     0.00707552    -0.03909117    -0.01537887
        7.10000     0.00463613       4505.868       11602.31       106.2536      0.0914603      0.0466021    -0.00464561     -0.0048797       0.779069       -8.68778     -0.1392694    -0.02618813     0.00697088    -0.03786426     0.01742723     0.01115301     0.00551979    -0.03909117    -0.01562729
        7.20000     0.00426474       4509.345       11586.66       106.3424      0.0931963      0.0466021    -0.00567896     -0.0163613       0.777810       -8.69185     -0.1392600    -0.02948319     0.00836505    -0.00173425     0.01452268     0.00710128     0.00551979    -0.03933576    -0.01542856
        7.30000     0.00352195       4533.703       11623.26       106.7408      0.0930282      0.0451851    -0.00740120     -0.0077501       0.759228       -8.68878     -0.1044134    -0.02653498     0.00975923     0.03439577     0.00551861     0.00568331     0.00033403    -0.03909117    -0.01567697
        7.40000     0.00426474       4533.703       11583.93       106.7847      0.0929475      0.0442995    -0.00705675      0.0073195       0.780431       -8.68342     -0.0617444    -0.02341335     0.00975923     0.04032111     0.00900406     0.00472497    -0.00174028    -0.03909117    -0.01562729
        7.50000     0.00463613       4568.499       11616.89       106.9610      0.0931312      0.0437681    -0.00636785      0.0000000       0.779637       -8.68600     -0.0642693    -0.01890432     0.01150195     0.03266157     0.01016587     0.00409141    -0.00588888    -0.03899334    -0.01557761
        7.60000    -0.00334880       4568.499       11618.37       107.0491      0.0919999      0.0430596    -0.00619563      0.0252596       0.753102       -8.66477     -0.0534607    -0.01682323     0.01150195     0.02688077    -0.00174272     0.00426529    -0.00951891    -0.03909117    -0.01577634
        7.70000    -0.01207650       4568.499       11607.75       107.4433      0.0925591      0.0430596    -0.00051224      0.0843898       0.779144       -8.65604     -0.0687059    -0.01300791     0.01150195     0.04566836     0.00203320     0.00282696    -0.00951891    -0.03909117    -0.01577634
        7.80000    -0.01746166       4561.540       11588.34       107.4818      0.0946870      0.0437681     0.00947675      0.0968760       0.790333       -8.83556     -0.0492542    -0.00849888     0.01185049     0.03121635     0.00203320     0.00314110    -0.01003749    -0.03909117    -0.01602476
        7.90000    -0.01764739       4568.499       11587.56       107.4329      0.0961874      0.0442995     0.01774350      0.0688897       0.806883       -9.05399      0.0023418    -0.00711149     0.01185049     0.00187877    -0.00029045    -0.00156322    -0.01003749    -0.03909117    -0.01617381
        8.00000    -0.01764739       4565.017       11577.47       107.4296      0.0967617      0.0478420     0.02359912      0.0605655       0.830485       -9.25317      0.0184031    -0.00711149     0.01185049     0.01618626     0.00029045    -0.00529965    -0.00951891    -0.03909117    -0.01622349
        8.10000    -0.01801878       4568.499       11608.22       107.4703      0.0985177      0.0499676     0.02979918      0.0496580       0.863610       -9.56366      0.0329271    -0.00416328     0.01185049     0.00838221    -0.00058093    -0.00739648    -0.01107464    -0.03889551    -0.01637254
        8.20000    -0.01839012       4561.540       11597.43       107.4242      0.1011547      0.0536873     0.03324366      0.0261207       0.919725       -9.85408      0.0460389    -0.00433670     0.01150195     0.04639095    -0.01161816    -0.01158788    -0.01055607    -0.03894442    -0.01652159
        8.30000    -0.01820445       4551.099       11627.46       107.4230      0.1050342      0.0570528     0.03531035      0.0163613       0.987104      -10.24999      0.0865230     0.00502819     0.00975923     0.08411063    -0.01219903    -0.01315798    -0.01107464    -0.03879767    -0.01686937
        8.40000    -0.01894725       4554.580       11600.27       107.4224      0.1092721      0.0607725     0.03634369     -0.0020093       1.004655      -10.44049      0.0960166     0.01075118     0.00906214     0.05202724    -0.01248951    -0.01842255    -0.01107464    -0.03869984    -0.01701842
        8.50000    -0.01987571       4568.499       11610.29       107.4232      0.1118944      0.0639608     0.03496590     -0.0195187       1.031997      -10.64291      0.1104234     0.01560705     0.00697088     0.03295061    -0.02643128    -0.01478230    -0.01003749    -0.03869984    -0.01726684
        8.60000    -0.01969004       4575.458       11583.66       107.0270      0.1144606      0.0678576     0.03289922     -0.0177965       1.071209      -10.83848      0.1075310     0.01786156     0.00418253     0.03425131    -0.02294581    -0.01449991    -0.00692603    -0.03869984    -0.01736620
        8.70000    -0.01931864       4578.936       11610.34       107.4253      0.1172673      0.0714002     0.03117698     -0.0292781       1.099217      -11.03876      0.1068511     0.02237059     0.00243981     0.02875956    -0.01946038    -0.01251895    -0.00537030    -0.03860201    -0.01736620
        8.80000    -0.01913291       4565.017       11603.79       107.0301      0.1187432      0.0740571     0.02738805     -0.0266948       1.099411      -11.05007      0.0211586     0.02375798     0.00034854     0.03034923    -0.01277997    -0.01693737    -0.00381458    -0.03830850    -0.01741588
        8.90000    -0.01913291       4582.417       11596.63       107.0309      0.1209053      0.0763598     0.02601026     -0.0160743       1.159182      -11.24251      0.0579936     0.02826700    -0.00034854     0.02760336    -0.01539406    -0.01749608    -0.00122170    -0.03830850    -0.01726684
        9.00000    -0.01969004       4568.501       11583.19       107.4296      0.1236466      0.0790168     0.02359912     -0.0298522       1.172277      -11.44357      0.1316526     0.02861385    -0.00278835    -0.00780404    -0.01946038    -0.01376401     0.00085260    -0.03860201    -0.01726684
        9.10000    -0.01913291       4575.458       11613.31       107.4316      0.1251465      0.0827365     0.02015464     -0.0378893       1.166451      -11.44639      0.0730517     0.02809358    -0.00418253     0.01792049    -0.02120309    -0.01842261     0.00551979    -0.03840634    -0.01716747
        9.20000    -0.01876152       4578.936       11593.29       107.4337      0.1264976      0.0834450     0.01636571     -0.0338707       1.176615      -11.44494      0.0510041     0.03173549    -0.00697088     0.02066640    -0.02265538    -0.01390836     0.00707552    -0.03850417    -0.01721715
        9.30000    -0.01894725       4589.376       11593.33       107.4353      0.1263419      0.0837992     0.01361013     -0.0215281       1.158401      -11.37922      0.0197320     0.03173549    -0.00836505     0.00563628    -0.00929455    -0.00979229     0.00707552    -0.03830850    -0.01721715
        9.40000    -0.01876152       4589.378       11636.30       107.4363      0.1260578      0.0862791     0.01188789     -0.0172225       1.158859      -11.40220     -0.0100765     0.03294946    -0.00906214    -0.00260137    -0.00638996    -0.00687538     0.01381700    -0.03830850    -0.01691905
        9.50000    -0.01913291       4589.378       11576.14       107.4372      0.1248547      0.0876961     0.01016565     -0.0111946       1.169283      -11.24063     -0.0451688     0.03104179    -0.00975923    -0.01705341    -0.00755181    -0.00519249     0.01537273    -0.03830850    -0.01637254
        9.60000    -0.01913291       4589.378       11636.35       107.4376      0.1247870      0.0884046     0.00947675     -0.0068890       1.150213      -11.22683     -0.0356531     0.02930755    -0.01045632    -0.04812519    -0.00377594    -0.00334634     0.01796561    -0.03830850    -0.01637254
        9.70000    -0.01133371       4582.419       11629.71       107.0413      0.1256547      0.0896445     0.00775451     -0.0410468       1.165996      -11.38609     -0.0872311     0.02306429    -0.01045632    -0.00635892     0.00319501    -0.00751584     0.02211422    -0.03821067    -0.01637254
        9.80000    -0.00204893       4575.460       11589.69       107.0451      0.1250907      0.0896445     0.00086555     -0.0912788       1.140896      -11.36713     -0.0720748     0.02687961    -0.01010778    -0.01589725    -0.00290452    -0.00054584     0.02211422    -0.03791717    -0.01607444
        9.90000     0.00333625       4592.856       11622.19       107.4484      0.1240753      0.0894674    -0.00946789     -0.1033344       1.129840      -11.21199     -0.0207090     0.01924896    -0.01080486    -0.05347243     0.00232365    -0.00523043     0.02418852    -0.03791717    -0.01607444
       10.00000     0.00333625       4592.856       11572.13       107.4536      0.1217836      0.0885817    -0.01876798     -0.0795102       1.088573      -10.95832     -0.0497919     0.01786157    -0.00975923    -0.01705342     0.00203316    -0.00533914     0.02781855    -0.03791717    -0.01577634
       10.10000     0.00333625       4592.856       11642.41       107.4573      0.1197627      0.0853934    -0.02531249     -0.0576951       1.027562      -10.55820     -0.1198675     0.01508678    -0.01045632    -0.01835404    -0.00087136    -0.00187426     0.02833713    -0.03762367    -0.01617381
       10.20000     0.00333625       4589.378       11612.38       107.4602      0.1167285      0.0834450    -0.03047921     -0.0433431       0.980380      -10.25884     -0.0379042     0.01404624    -0.00975923    -0.02514649     0.00464730    -0.00405873     0.02885570    -0.03772150    -0.01597507
       10.30000     0.00352195       4582.419       11582.28       107.4622      0.1142082      0.0797253    -0.03392369     -0.0252596       0.933590       -9.98267     -0.0625115     0.01075118    -0.00975923    -0.00072262    -0.00058091    -0.00066471     0.03041143    -0.03791717    -0.01592539
       10.40000     0.00333625       4596.336       11583.04       107.5073      0.1104798      0.0765370    -0.03564593     -0.0123427       0.905736       -9.65927     -0.1494699     0.01335254    -0.00975923     0.00722595    -0.00058090     0.00097199     0.03248574    -0.03791717    -0.01567697
       10.50000     0.00370765       4617.212       11603.10       107.5077      0.1071963      0.0735258    -0.03633483      0.0040186       0.839153       -9.45727     -0.0683240     0.01040434    -0.00975923    -0.06705726     0.00290451     0.00355563     0.03248574    -0.03791717    -0.01562729
       10.60000     0.00389335       4606.775       11583.04       107.5069      0.1049194      0.0692746    -0.03495704      0.0160743       0.820905       -9.07285     -0.1091817     0.00260025    -0.00906214    -0.02167804     0.01161813     0.00531616     0.03248574    -0.03811284    -0.01537887
