Data file: /home/fk1j/attas/aiaa_general/check_stall/stall_f623_qst01.cdf
44 Variables plus time, with 3001 values each

              T           AXCG           AYCG           AZCG          AYCKP          AZCKP           PRGX           QRGY           RRGZ            PHI            THE            PSI           ALCG           BECG         VTASCG           HQNH           PDOT           QDOT           RDOT          HRADIO          VCAS           DELV          IHTRM          N1T1L          N1T2R          DLC_L          DLC_R         DAIL_L         DAIL_R           DRUD           MACH            SAT          PSTAT            RHO          PHLAT          LALON           FN_L           FN_R         FUELUS         BETDOT             FW          ALDOT           FLAP         DSPL_L         DSPL_R
              s         M/S**2         M/S**2         M/S**2         M/S**2         M/S**2          DEG/S          DEG/S          DEG/S            DEG            DEG            DEG            DEG            DEG            M/S              M         DEG/S2         DEG/S2         DEG/S2              M            M/S            DEG            DEG        PROZENT        PROZENT            DEG            DEG            DEG            DEG            DEG             --             °K             PA          Kg/m3            DEG            DEG              N              N             KG          DEG/S             --          DEG/S            DEG            DEG            DEG

         0.7200       1.046060      0.2321160       -9.35899       0.116116       -9.23478    -0.00094426      0.0046436    -0.00103199     -0.0304879      0.1161991       0.037966        5.12592      -0.886639       98.75839       5471.922     -0.0060144     -0.0174677    -0.00093483       787.8696       77.28725      0.0329734    -0.02303630       83.29085       85.35656    -0.01483238    -0.01459798    -0.01897126     0.00617436    -0.01754594      0.3188125       249.9446       50956.00      0.7102149      0.9365583      0.1897103       10289.11       10992.46       1990.000      0.0008000   0.000000E+00     -0.0017134     0.02187159    0.001501158    0.003365159
         0.7600       1.050793      0.2271893       -9.38265       0.188317       -9.21124    -0.00094426      0.0032009    -0.00174987     -0.0305837      0.1161032       0.037966        5.12160      -0.879226       98.74078       5472.227     -0.0020773     -0.0172028    -0.00160019       787.8696       77.28725      0.0337233    -0.02313045       83.65595       85.43485    -0.01455932    -0.01480992    -0.01804107     0.00560701    -0.01754594      0.3188125       249.9463       50956.00      0.7102100      0.9365583      0.1897103       10418.52       11018.32       1990.000      0.0768212   0.000000E+00     -0.0019840     0.02187159    0.001501158    0.003365159
         0.8000       1.036596      0.1976311       -9.07506       0.116116       -9.16415     0.00049460      0.0053648    -0.00174987     -0.0308714      0.1160073       0.037870        5.11691      -0.868449       98.75141       5472.227      0.0001323     -0.0163248    -0.00181034       787.8696       77.28725      0.0331609    -0.02303630       83.49948       85.61754    -0.01480456    -0.01469812    -0.01822713     0.00522879    -0.01754594      0.3188125       249.9453       50929.58      0.7098446      0.9365583      0.1897103       10357.50       11070.06       1990.000     -0.0440116   0.000000E+00     -0.0022041     0.02187159    0.001501158    0.003365159
         0.8400       1.031864      0.1286614       -9.50095       0.188317       -9.09352    -0.00094426      0.0010370    -0.00174987     -0.0309672      0.1159114       0.037774        5.11219      -0.860905       98.76687       5472.379      0.0001487     -0.0152451    -0.00162312       787.8696       77.28725      0.0335358    -0.02313045       83.44733       85.53925    -0.01484414    -0.01449784    -0.01766899     0.00466144    -0.01754594      0.3187500       249.9437       50929.58      0.7098489      0.9365583      0.1897103       10337.82       11043.77       1990.000     -0.0136042   0.000000E+00     -0.0019233     0.02187159    0.001501158    0.003365159
         0.8800       1.088650      0.1483672       -9.00408       0.164250       -9.23478    -0.00022483      0.0024796    -0.00174987     -0.0312549      0.1158156       0.037678        5.10855      -0.858423       98.76454       5472.532     -0.0009642     -0.0133154    -0.00140711       787.8696       77.27116      0.0337233    -0.02322459       83.57772       85.59144    -0.01484414    -0.01469812    -0.01729694     0.00390500    -0.01754594      0.3187500       249.9440       50929.58      0.7098483      0.9365583      0.1897103       10383.80       11060.48       1990.000      0.0456121   0.000000E+00     -0.0010086     0.02187159    0.001501158    0.003365159
         0.9200       1.117043      0.1286614       -9.45363       0.188317       -9.21124    -0.00022483      0.0010370    -0.00174987     -0.0314466      0.1157197       0.037583        5.10764      -0.855222       98.76869       5472.532     -0.0015830     -0.0096415    -0.00131270       787.8696       77.27116      0.0331609    -0.02313045       83.39516       85.64363    -0.01467390    -0.01459798    -0.01711088     0.00428322    -0.01754594      0.3187500       249.8420       50929.58      0.7101380      0.9365583      0.1897103       10324.10       11081.09       1990.000     -0.0048012   0.000000E+00      0.0000265     0.02187159    0.001501158    0.003365159
         0.9600       1.093382      0.1729996       -9.33533       0.212384       -9.21124    -0.00094426      0.0010370    -0.00174987     -0.0315425      0.1156238       0.037487        5.10878      -0.849671       98.77966       5472.684     -0.0009512     -0.0041494    -0.00114201       787.8696       77.27116      0.0337233    -0.02313045       83.60380       85.51315    -0.01455932    -0.01459798    -0.01748297     0.00466144    -0.01754594      0.3187500       249.8409       50929.58      0.7101411      0.9365613      0.1897103       10396.90       11039.01       1990.000     -0.0128033   0.000000E+00      0.0005387     0.02187159    0.001501158    0.003181994
         1.0000       1.159633      0.2518218       -9.14605       0.140183       -9.14061    -0.00094426      0.0017583    -0.00174987     -0.0317342      0.1155279       0.037391        5.10973      -0.843564       98.79678       5472.684      0.0006357      0.0025196    -0.00064859       787.8696       77.27116      0.0333484    -0.02313045       83.34301       85.46095    -0.01477673    -0.01459798    -0.01748297     0.00485057    -0.01754594      0.3187500       249.8392       50929.58      0.7101458      0.9365613      0.1897103       10304.27       11021.48       1990.000      0.0304083   0.000000E+00      0.0003670     0.02194927    0.001501158    0.003365159
         1.0400       1.064989      0.1286614       -9.33533       0.212384       -9.25833    -0.00094426      0.0010370    -0.00246775     -0.0319260      0.1154321       0.037295        5.10978      -0.836934       98.81771       5472.989      0.0023908      0.0091561     0.00012833       787.8696       77.27116      0.0337233    -0.02322459       83.29085       85.56534    -0.01480456    -0.01480992    -0.01729694     0.00466144    -0.01754594      0.3187500       249.8372       50929.58      0.7101517      0.9365613      0.1897103       10284.82       11053.52       1990.000     -0.0248070   0.000000E+00     -0.0002844     0.02187159    0.001501158    0.003181994
         1.0800       1.154900      0.1532938       -9.24069       0.188317       -9.16415     0.00049460      0.0017583    -0.00174987     -0.0321177      0.1153362       0.037199        5.10864      -0.835563       98.82602       5473.141      0.0036045      0.0140916     0.00086998       787.8696       77.27116      0.0337233    -0.02303630       83.52556       85.53925    -0.01508937    -0.01469812    -0.01692486     0.00485057    -0.01754594      0.3187500       249.8363       50929.58      0.7101541      0.9365643      0.1897103       10366.92       11044.77       1990.000      0.0208059   0.000000E+00     -0.0011582     0.02187159    0.001501158    0.003365159
         1.1200       1.036596      0.2370427       -9.19337       0.164250       -9.18770    -0.00094426      0.0017583    -0.00174987     -0.0322136      0.1152403       0.037007        5.10495      -0.841016       98.83084       5473.141      0.0040620      0.0158645     0.00118843       787.8696       77.27921      0.0331609    -0.02294216       83.42124       85.46095    -0.01454757    -0.01459798    -0.01766899     0.00503966    -0.01754594      0.3188125       249.8359       50929.58      0.7101554      0.9365643      0.1897103       10330.50       11020.18       1990.000      0.0416111   0.000000E+00     -0.0019548     0.02187159    0.001501158    0.003365159
         1.1600       1.022400      0.1483672       -9.21703       0.260518       -9.23478     0.00049460      0.0032009    -0.00174987     -0.0324053      0.1151444       0.037007        5.09959      -0.844903       98.85012       5473.293      0.0040161      0.0137717     0.00091125       787.8696       77.27921      0.0335358    -0.02322459       83.42124       85.48705    -0.01445648    -0.01459798    -0.01692486     0.00466144    -0.01754594      0.3188125       249.8340       50929.58      0.7101608      0.9365643      0.1897103       10329.48       11027.41       1990.000     -0.0840229   0.000000E+00     -0.0024558     0.02187159    0.001501158    0.003365159
         1.2000       1.107579      0.2468951       -9.26435       0.140183       -9.11706    -0.00022483      0.0060861    -0.00174987     -0.0325971      0.1150486       0.036911        5.09399      -0.841604       98.89648       5473.446      0.0035689      0.0080484     0.00022226       787.8696       77.27921      0.0331609    -0.02322459       83.44733       85.46095    -0.01470173    -0.01459798    -0.01692486     0.00428322    -0.01754594      0.3188125       249.8294       50929.58      0.7101737      0.9365643      0.1897103       10336.20       11016.59       1990.000      0.0288078   0.000000E+00     -0.0027010     0.02187159    0.001685914    0.003181994
         1.2400       1.126508      0.1976311       -9.28801       0.260518       -9.16415    -0.00094426      0.0017583    -0.00174987     -0.0326930      0.1148568       0.036816        5.08776      -0.832297       98.98073       5473.446      0.0024443      0.0002642    -0.00053144       787.8696       77.30332      0.0337233    -0.02303630       83.55164       85.48705    -0.01466215    -0.01448621    -0.01729694     0.00390500    -0.01754594      0.3188750       249.8211       50929.58      0.7101973      0.9365643      0.1897103       10368.94       11020.83       1990.000      0.0456124   0.000000E+00     -0.0027601     0.02187159    0.001685914    0.003181994
         1.2800       1.164365      0.0941775       -9.14605       0.188317       -9.30541     0.00121391      0.0046436    -0.00174987     -0.0330765      0.1148568       0.036624        5.08131      -0.816066       99.09073       5473.599      0.0006067     -0.0063064    -0.00110374       787.8696       77.30332      0.0335358    -0.02331874       83.73419       85.53925    -0.01494696    -0.01459798    -0.01711088     0.00503966    -0.01754594      0.3188750       249.8103       50929.58      0.7102281      0.9365643      0.1897103       10427.27       11031.39       1990.000     -0.0496137   0.000000E+00     -0.0025431     0.02187159    0.001501158    0.003365159
         1.3200       1.150168      0.1631462       -9.33533       0.140183       -9.16415     0.00121391      0.0039222    -0.00246775     -0.0331723      0.1147610       0.036528        5.07603      -0.797909       99.17796       5473.751     -0.0014688     -0.0078868    -0.00141154       787.8696       77.30332      0.0337233    -0.02313045       83.36909       85.48705    -0.01468997    -0.01459798    -0.01729694     0.00428322    -0.01754594      0.3188750       249.8017       50929.58      0.7102526      0.9365672      0.1897133       10294.31       11010.03       1990.000     -0.0296080   0.000000E+00     -0.0020788     0.02194927    0.001501158    0.003365159
